item_id,category,stock_level,reorder_point,reorder_frequency_days,lead_time_days,daily_demand,demand_std_dev,item_popularity_score,storage_location_id,zone,picking_time_seconds,handling_cost_per_unit,unit_price,holding_cost_per_unit_day,stockout_count_last_month,order_fulfillment_rate,total_orders_last_month,turnover_ratio,layout_efficiency_score,last_restock_date,forecasted_demand_next_7d,KPI_score,score_pick_time,score_demand,score_layout_bad,score_handling_cost,automation_candidate_score,automation_candidate_flag,robot_assisted,manual_pick_time_seconds,robot_pick_time_seconds,robot_workload_share_proxy
ITM10000,Pharma,283,21,4,4,49.85,1.56,0.43,L82,B,106,3.61,117.8,1.14,0,0.8,700,3.33,0.33,2024-02-17,184.37,0.556,0.5680473372781065,0.9973453134572188,0.8375,0.6911111111111111,0.7630336400595193,1,1,106.0,73.62185188381821,0.2984954743166571
ITM10001,Automotive,301,52,9,6,23.34,2.55,0.69,L15,A,45,3.54,178.8,1.09,3,0.79,736,10.36,0.98,2024-10-01,221.94,0.723,0.20710059171597633,0.4559934653869716,0.025000000000000022,0.6755555555555556,0.2921938318580376,0,0,45.0,45.0,0.2984954743166571
ITM10002,Groceries,132,60,11,8,37.69,3.15,0.62,L4,B,177,0.52,54.05,0.95,7,0.75,814,14.32,0.87,2024-04-07,53.85,0.68,0.9881656804733728,0.7490300183785992,0.1625000000000001,0.004444444444444449,0.6529197221473734,1,1,177.0,124.08347152333134,0.2984954743166571
ITM10003,Automotive,346,46,13,5,33.69,2.79,0.21,L95,A,39,2.64,31.1,1.9,0,0.96,994,2.08,0.29,2024-01-27,92.04,0.488,0.17159763313609466,0.6673473555237901,0.8875000000000001,0.47555555555555556,0.49389881546713044,0,0,39.0,39.0,0.2984954743166571
ITM10004,Automotive,49,55,4,6,49.58,5.23,0.31,L36,D,35,1.4,104.97,0.63,5,0.83,299,5.65,0.96,2024-05-17,194.58,0.67,0.14792899408284024,0.9918317337145192,0.050000000000000044,0.19999999999999998,0.3867211177474919,0,0,35.0,35.0,0.2984954743166571
ITM10005,Apparel,154,62,9,6,35.95,9.47,0.41,L32,A,94,1.96,164.12,0.66,1,0.99,477,7.61,0.95,2024-07-12,180.65,0.803,0.4970414201183432,0.7134980600367573,0.0625,0.3244444444444444,0.4578104305028089,0,0,94.0,94.0,0.2984954743166571
ITM10006,Groceries,86,97,6,4,9.04,4.72,0.28,L29,C,110,4.9,134.38,0.37,8,0.88,418,4.25,0.45,2024-12-10,223.69,0.526,0.591715976331361,0.1639779456810292,0.6875,0.9777777777777779,0.521157552014631,0,0,110.0,110.0,0.2984954743166571
ITM10007,Groceries,84,89,13,4,47.82,6.78,0.24,L18,D,130,0.88,131.09,1.42,7,0.74,958,11.37,0.7,2024-11-05,195.75,0.558,0.7100591715976331,0.9558913620584032,0.3750000000000001,0.08444444444444445,0.6542355217010187,1,1,130.0,94.99380157125954,0.2984954743166571
ITM10008,Groceries,311,22,4,9,33.72,7.04,0.15,L95,D,40,3.75,13.32,0.71,8,0.86,697,10.64,0.29,2024-11-04,105.74,0.541,0.17751479289940827,0.6679599754952011,0.8875000000000001,0.7222222222222222,0.5211161320305459,0,0,40.0,40.0,0.2984954743166571
ITM10009,Automotive,44,98,9,8,3.91,8.78,0.89,L14,A,26,1.28,70.32,1.63,8,1.0,496,2.65,0.27,2024-01-21,154.78,0.366,0.09467455621301775,0.05921993056973658,0.9125,0.17333333333333334,0.2554691349894614,0,0,26.0,26.0,0.2984954743166571
